item,name,region,regionLabel,startDate,endDate,psid
Q111416820,Rougayatou Asta Djoulde,Q351514,Adamaoua,2018-03-25,,Q111416820-34113293-909B-4B4D-8268-A2E25D86CBF0
Q111416821,Régina Mundi Elizabeth,Q823946,Région du Nord-Ouest,2018-03-25,,Q111416821-98641955-9DFE-4C7C-98E9-701CA9724B92
Q111416823,Teingnidetio Jean,Q165784,Ouest,2018-03-25,,Q111416823-A0F40D60-BBF7-4899-91A0-652E3E07909A
Q111416824,Vanigansen Mochiggle,Q823946,Région du Nord-Ouest,2018-03-25,,Q111416824-5000582C-3CD2-4FE2-A10B-90CA043EAB51
Q111416825,Zakiatou Epse Sale,Q823976,Extrême-Nord,2018-03-25,,Q111416825-53AFB111-5466-4CFB-882B-7AC0D0C8BB80
Q15819842,Ibrahim Mbombo Njoya,Q165784,Ouest,2018-03-25,2021-09-27,Q15819842-A9702E98-C401-4A99-BB95-B3635E9CE61B
Q24951660,Bell Luc René,Q739951,Centre,2018-03-25,,Q24951660-187E2825-2795-4E40-8F44-39817E379697
Q27755043,Mukete Essimi Ngo Victor,Q607499,Région du Sud-Ouest,2018-03-25,2021-04-10,Q27755043-AA6730EA-6823-49C2-AA7C-8868EF5D5EB1
Q2840847,Amadou Alim,Q502341,Province du Nord,2018-03-25,,Q2840847-9CB29EC9-D986-4D8D-8F19-29E0A11BBE61
Q39145253,Hanglog Epse Tjoues Géneviève,Q845172,Littoral,2018-03-25,,Q39145253-116D2F32-EFB1-4BE6-B39E-97D5AEE5693A
Q41672851,Okala Bilai Epouse Ahandjena Nicole,Q739951,Centre,2018-03-25,,Q41672851-C07F9F6E-0791-4080-813A-9DD7912889DE
Q43457076,Ouli Ndongo Monique,Q845168,Est,2018-03-25,,Q43457076-A10DC6B8-B732-421E-9C01-491AE642B001
Q43459010,Eloumba Therese,Q857122,Région du Sud,2018-03-25,,Q43459010-B8D49C88-E35F-413C-86B6-CBB94D1756BD
Q43460532,Aboui Marlyse,Q845168,Est,2018-03-25,,Q43460532-B9CFEEB6-7EDA-4278-8C0A-28FD9B60E0A0
Q5209975,Dakole Daïssala,Q823976,Extrême-Nord,2018-03-25,,Q5209975-8B1B794B-10E7-4D27-8D7D-870878EFF649
Q5399952,Essomba Tsoungui Elie Victor,Q739951,Centre,2018-03-25,,Q5399952-50A5727D-45F4-47AA-9639-8B6B0D6BFCB8
Q95725544,Aboubakary Abdoulaye,Q502341,Province du Nord,2018-03-25,,Q95725544-103153DF-32EA-4597-90DA-2EAC45FD52C5
